Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
BKYI,20201020,553647.0,5208.0,2023015.0,B/Q/N,0.462,0.45,-0.010989,0.27367419421012695,-0.03571007139639171,-421172.0,-0.025974025974025997
BMY,20201020,401425.0,0.0,6635199.0,B/Q/N,61.09,60.64,-0.0021390000000000003,0.06049931584568903,-0.03868574741746181,-4363937.0,-0.007366181044360825
BMYr,20201020,267128.0,0.0,0.0,Q/N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND,20201020,1528130.0,100.0,4653063.0,B/Q/N,87.93,87.84,-0.0017050000000000001,0.32841377819298817,0.061515930367297855,-553532.0,-0.0010235414534289025
BNDX,20201020,545017.0,0.0,4225969.0,B/Q/N,58.465,58.4,-0.001026,0.1289685276915188,-0.3652866453306351,2321473.0,-0.0011117762764047692
BNGO,20201020,1017224.0,11236.0,2825259.0,B/Q/N,0.5562,0.5529,-0.012679000000000001,0.3600462824824202,0.015924273798695654,21393.0,-0.005933117583603165
BOXL,20201020,500143.0,1920.0,1708277.0,B/Q/N,1.63,1.57,-0.024845000000000002,0.29277628862298094,-0.07269290682230295,-158184.0,-0.036809815950920144
BP,20201020,1330497.0,35310.0,14079464.0,B/Q/N,16.12,16.15,0.0074860000000000005,0.094499122977977,-0.007252404725481637,-764549.0,0.0018610421836226787
BRK/B,20201020,396868.0,1876.0,0.0,B/Q/N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSV,20201020,416021.0,0.0,1824575.0,B/Q/N,82.91,82.9,0.000121,0.22800981050381597,0.22800981050381597,1824575.0,-0.00012061271257979623
BSX,20201020,827809.0,0.0,8140363.0,B/Q/N,37.98,37.54,-0.006089,0.1016919024372746,0.040482990525155194,-3056830.0,-0.011585044760400152
BXRX,20201020,1863158.0,150583.0,7567047.0,B/Q/N,1.75,1.58,-0.401515,0.24621995872366062,0.24621995872366062,7567047.0,-0.0971428571428571
C,20201020,2022169.0,23663.0,21255916.0,B/Q/N,43.37,43.52,0.014452,0.09513440869826546,-0.004415666248296216,-1537658.0,0.0034586119437400435
CAR,20201020,906605.0,11544.0,6134693.0,B/Q/N,33.5,36.24,0.094864,0.1477832713063229,0.1477832713063229,6134693.0,0.08179104477611947
CARR,20201020,481087.0,261.0,3944829.0,B/Q/N,32.45,33.23,0.028156,0.12195382867039357,-0.04520910550037309,-1584447.0,0.024036979969183175
CAT,20201020,472578.0,1492.0,3008336.0,B/Q/N,168.2,168.99,0.008715,0.15708950064088587,0.15708950064088587,3008336.0,0.004696789536266471
CBAT,20201020,265106.0,2140.0,2349325.0,B/Q/N,3.0,2.87,-0.055921000000000005,0.11284347631766571,-0.08743081403500098,-627083.0,-0.0433333333333333
CBL,20201020,1967736.0,91825.0,6465296.0,B/Q/N,0.16,0.1617,0.05,0.3043535825737909,0.11385664855128377,1548104.0,0.010625000000000044
CBLI,20201020,43969051.0,474982.0,147802457.0,B/Q/N,4.5,3.17,0.46082900000000004,0.29748525087103256,0.29748525087103256,147802457.0,-0.29555555555555557
CCL,20201020,3967119.0,68794.0,27572775.0,B/Q/N,14.42,14.61,0.032509,0.14387811890533325,-0.043803985537504225,-465050.0,0.013176144244105376
CCNC,20201020,407512.0,37435.0,2555315.0,B/Q/N,1.85,1.87,-0.18340599999999999,0.15947622895807367,-0.07378143659846709,-27844239.0,0.01081081081081082
CDEV,20201020,1392431.0,15799.0,3799635.0,B/Q/N,0.6376,0.6452,0.016063,0.3664644103973145,-0.030605902291068743,-347497.0,0.011919698870765452
CEI,20201020,3294949.0,228345.0,8963832.0,B/Q/N,0.7882,0.8438,0.032424,0.36758263653312556,0.10555997043615412,3749348.0,0.07054047196143108
CFG,20201020,796465.0,11376.0,5146431.0,B/Q/N,27.11,27.62,0.036787,0.15476064869032538,0.027503639511321898,691808.0,0.018812246403541188
CGC,20201020,1560253.0,6595.0,7348250.0,B/Q/N,19.22,18.88,-0.046946,0.21232987445990542,0.0051110977358400644,-7023160.0,-0.017689906347554626
CIDM,20201020,570590.0,9201.0,2152290.0,Q/N,0.58,0.555,-0.043102999999999995,0.26510832648016763,0.03967285383538194,-1449601.0,-0.04310344827586192
CIH,20201020,1651132.0,30692.0,5648587.0,B/Q/N,1.42,1.9,0.338028,0.2923088552942532,0.2923088552942532,5648587.0,0.3380281690140845
CIT,20201020,644519.0,2637.0,5672394.0,B/Q/N,26.98,27.06,0.027725,0.11362380680890644,0.009351732907630833,-3058822.0,0.0029651593773164673
CLDR,20201020,355772.0,4283.0,2968236.0,B/Q/N,10.43,10.31,-0.008654,0.11985974161084227,-0.06617352177986364,-972613.0,-0.011505273250239619
CLF,20201020,1952109.0,32034.0,7678586.0,B/Q/N,8.01,7.78,-0.008917000000000001,0.2542276663958703,0.0810281957522983,-5303971.0,-0.0287141073657927
