Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
GOVT,20201118,940229.0,96101.0,7067394,Q/N,27.68,27.66,0.000181,0.13303758075466007,-0.10532269683347703,0.868689261730415,-0.0007225433526011406,0.013520937440214272
GPS,20201118,682715.0,406.0,6304379,B/Q/N,24.61,23.67,-0.036238,0.10829218865172922,0.036735152524080134,0.42693960678226356,-0.03819585534335627,0.01687498909742895
GRWG,20201118,986008.0,7683.0,6170618,B/Q/N,28.2,28.89,0.041832,0.15979080215304203,-0.08093801459554728,-0.020164332313633515,0.024468085106383024,0.12598211547540183
GSK,20201118,1382438.0,1559.0,10821862,B/Q/N,37.33,36.57,-0.015612,0.12774492966182716,-0.05735651888556079,0.43048591802029434,-0.02035896062148401,0.0021568559158777613
GUSH,20201118,371795.0,13468.0,3745127,B/Q/N,32.2,30.23,-0.044261999999999996,0.09927433702515295,-0.0003748059102401252,0.15506704096354923,-0.061180124223602556,0.23735751268409477
HAL,20201118,1294860.0,6785.0,12951423,B/Q/N,15.85,15.39,-0.026565,0.09997820316732764,-0.003839836241508701,0.4393047954811462,-0.02902208201892739,0.014650811551585008
HBAN,20201118,686494.0,200.0,6340651,B/Q/N,12.16,11.87,-0.012479,0.10826869354582046,0.014186922206219088,-0.22081763966392917,-0.02384868421052639,0.006232758221759174
HBI,20201118,734096.0,275.0,4735441,B/Q/N,13.56,13.41,-0.008869,0.15502167591149377,-0.060730923085106886,-0.16298999852940343,-0.011061946902654893,0.013594928139509799
HPE,20201118,1047016.0,380.0,9212011,B/Q/N,10.53,10.5,0.001908,0.11365770188507157,-0.044852977281225836,-0.124030796195339,-0.0028490028490027884,0.007161169704715824
HPQ,20201118,1243602.0,4662.0,9110311,B/Q/N,20.61,20.45,-0.002439,0.1365048898989288,0.09199315619268475,-0.06433624163169259,-0.00776322173702087,0.006632932403730832
HST,20201118,1829248.0,487.0,11022878,B/Q/N,14.09,14.15,0.000707,0.16595012663661884,0.04797521115466062,0.14627137908694518,0.004258339247693435,0.015627963128027965
