Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,AMPH,24026,0,50508,Q/N
20200918,AMPY,111078,2546,442389,Q/N
20200918,AMRB,3897,0,3997,Q/N
20200918,AMRC,24882,0,41870,Q/N
20200918,AMRH,35445,0,71947,Q/N
20200918,AMRHW,4,0,5937,N
20200918,AMRK,10519,0,24714,B/Q/N
20200918,AMRN,759697,16288,4226326,B/Q/N
20200918,AMRS,862554,12445,1469523,B/Q/N
20200918,AMRX,112375,6529,324142,Q/N
20200918,AMS,803,0,13515,Q/N
20200918,AMSC,20058,0,40247,Q/N
20200918,AMSF,8650,0,53703,Q/N
20200918,AMSWA,38322,0,61111,Q/N
20200918,AMT,145904,496,431466,B/Q/N
20200918,AMTB,3800,0,4651,B/Q/N
20200918,AMTD,185154,6,381598,B/Q/N
20200918,AMTI,79699,0,124935,B/Q/N
20200918,AMTX,1014336,17517,1861360,B/Q/N
20200918,AMWD,17863,53,51633,B/Q/N
20200918,AMWL,1082917,9639,2029088,B/Q/N
20200918,AMX,249184,1527,812372,B/Q/N
20200918,AMYT,332,0,3413,Q
20200918,AMZA,62725,160,97112,Q/N
20200918,AMZN,1311355,3172,2378246,B/Q/N
20200918,AN,76424,0,112161,Q/N
20200918,ANAB,16147,0,23775,B/Q/N
20200918,ANAT,2880,36,5407,Q/N
20200918,ANCN,12326,0,18040,Q/N
20200918,ANDA,1149,0,3030,Q/N
20200918,ANDAW,5525,0,20427,Q/N
20200918,ANDE,40659,100,74753,B/Q/N
20200918,ANET,209245,995,361877,B/Q/N
20200918,ANF,164429,82,396909,B/Q/N
20200918,ANGI,1718651,14365,2442391,B/Q/N
20200918,ANGL,228629,0,489301,B/Q/N
20200918,ANGO,16146,0,39849,B/Q/N
20200918,ANH,80243,910,189401,Q/N
20200918,ANHpA,704,0,806,Q/N
20200918,ANHpB,250,0,1650,Q/N
20200918,ANHpC,1450,0,2300,Q
20200918,ANIK,17869,0,22360,B/Q/N
20200918,ANIP,13597,0,33062,B/Q/N
20200918,ANIX,64448,0,191034,B/Q/N
20200918,ANNX,90379,0,263846,B/Q/N
20200918,ANPC,3033,0,28892,Q/N
20200918,ANSS,40328,16,104228,B/Q/N
20200918,ANTE,1766,0,13519,Q/N
20200918,ANTM,78315,105,136510,B/Q/N
20200918,ANVS,6616,0,11648,Q/N
20200918,ANY,67141,0,133977,Q/N
20200918,AOA,5976,0,30134,Q/N
20200918,AOD,39469,680,99632,Q/N
20200918,AOK,59817,0,121376,Q/N
20200918,AOM,14814,0,63449,B/Q/N
20200918,AON,93536,0,131409,B/Q/N
20200918,AONE/U,2772,0,17464,Q/N
20200918,AOR,15105,871,40676,Q/N
20200918,AOS,154210,1752,283809,B/Q/N
20200918,AOSL,12368,0,32824,B/Q/N
20200918,AOUT,37512,44,80120,Q/N
20200918,AP,11644,0,37526,B/Q/N
20200918,APA,508165,621,1656774,B/Q/N
20200918,APAM,61622,0,211936,B/Q/N
20200918,APD,61173,344,136925,B/Q/N
20200918,APDN,58326,338,102206,B/Q/N
20200918,APEI,5353,0,8890,B/Q/N
20200918,APEN,326,0,2292,Q/N
20200918,APEX,4156,908,16048,B/Q/N
20200918,APG,13407,0,45290,Q/N
20200918,APH,123886,1,475693,B/Q/N
20200918,APHA,376955,895,952074,B/Q/N
20200918,API,110664,70,227875,B/Q/N
20200918,APLE,266661,3447,414152,Q/N
20200918,APLS,160031,0,199060,Q/N
20200918,APLT,21482,50,26900,Q/N
20200918,APM,13412,0,45352,Q/N
20200918,APO,134441,451,248840,B/Q/N
20200918,APOG,103932,401,196147,B/Q/N
20200918,APOP,1278,0,3706,B/Q/N
20200918,APOpA,814,0,2334,Q
20200918,APOpB,1145,0,4234,Q/N
20200918,APPF,34031,0,43139,B/Q/N
20200918,APPN,145678,93,228391,B/Q/N
20200918,APPS,1681491,18357,3963153,B/Q/N
20200918,APRE,11219,0,28128,B/Q/N
20200918,APRN,86241,2359,196260,Q/N
20200918,APT,115421,1309,312650,B/Q/N
20200918,APTO,292529,2800,745659,B/Q/N
20200918,APTS,335509,4885,545672,Q/N
20200918,APTV,345255,917,959185,B/Q/N
20200918,APTVpA,1426,0,25816,Q/N
20200918,APTX,23344,300,79797,Q/N
20200918,APVO,11757,0,16434,B/Q/N
20200918,APWC,16521,0,45258,Q/N
